Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
635,3808,1453,1163411100,-10.585999999999999,2057.2729999999997,2230781.402,1377514.23,15.9,6.7,2,41.42,0.0,1,114,201,5,0,4,1,630,0,105.85,2.56
636,3867,1447,1163417000,-6.412000000000001,1527.809,2230827.828,1376988.813,17.0,7.0,2,15.66,11.36,1,120,223,0,4,4,1,611,614,172.4,11.01
638,3831,507,1163413400,-23.92,703.303,2230555.994,1376236.9980000001,14.4,6.7,2,20.98,-1.99,0,122,202,2,0,4,3,0,0,0.0,0.0
639,3827,126,1163413000,-2.818,2057.815,2230788.995,1377515.9540000001,15.5,7.0,2,1.83,0.0,11,114,213,5,0,4,2,0,0,0.0,0.0
642,3850,1275,1163415300,-11.685,2053.55,2230780.885,1377510.3830000001,17.0,6.5,2,34.69,0.0,1,114,202,5,0,4,1,635,0,165.28,4.76
645,3866,697,1163416900,-11.659,2054.55,2230780.758,1377511.375,15.5,6.5,2,40.37,0.0,2,114,201,5,0,4,1,605,0,755.81,18.72
650,3910,1374,1163421300,-9.261000000000001,2050.735,2230783.712,1377507.9719999998,16.1,6.5,2,35.52,0.0,1,114,201,5,0,4,1,642,0,204.74,5.76
652,3931,278,1163423400,-12.828,2057.5820000000003,2230779.139,1377514.1930000002,16.0,7.0,2,37.17,0.0,1,114,212,5,0,4,1,650,0,81.48,2.19
654,3954,1367,1163425700,-21.833000000000002,2066.827,2230768.825,1377521.951,14.5,6.5,2,26.99,0.0,2,114,201,5,0,4,1,645,0,358.86,13.3
656,3972,381,1163427500,-12.195,2062.567,2230779.002,1377519.216,16.0,7.0,2,36.03,0.0,1,114,206,5,0,4,1,652,0,151.34,4.2
659,3972,275,1163427500,-23.014,2060.107,2230768.687,1377515.129,15.6,6.5,2,28.91,0.0,2,114,221,5,0,4,1,645,0,398.23,13.77
663,4030,480,1163433300,-29.009,710.341,2230552.286,1376244.852,16.6,6.5,2,8.31,-1.45,0,122,223,2,0,4,3,0,0,0.0,0.0
667,4048,25,1163435100,-16.6,129.407,2230498.642,1375664.1719999998,16.0,6.5,2,20.69,-1.37,2,123,201,0,1,4,1,0,407,0.0,0.0
669,4061,730,1163436400,23.123,52.998999999999995,2230532.048,1375584.799,16.5,7.0,2,25.57,0.0,2,101,214,0,1,2,1,601,0,1257.51,49.18
671,4061,818,1163436400,14.458,33.114000000000004,2230521.801,1375565.6809999999,16.5,7.0,2,20.17,0.0,1,101,214,0,1,2,1,619,0,96.32,4.78
673,4083,49,1163438600,5.1160000000000005,111.788,2230518.86,1375644.8530000001,15.0,7.0,2,15.74,0.0,11,101,223,0,1,2,1,0,0,0.0,0.0
682,4135,402,1163443800,-25.596,701.827,2230554.076,1376235.855,16.6,6.5,2,11.73,-0.75,0,122,201,2,0,4,3,0,0,0.0,0.0
684,4128,145,1163443100,24.211,74.564,2230534.878,1375606.205,15.5,7.0,2,12.84,0.0,2,101,202,0,1,2,1,669,0,62.22,4.85
685,4133,35,1163443600,3.4560000000000004,103.711,2230516.5519999997,1375636.937,15.5,7.0,2,24.17,0.0,11,101,223,0,1,2,1,0,0,0.0,0.0
686,4155,1223,1163445800,-16.817999999999998,1984.5510000000002,2230786.37,1377441.4109999998,16.0,6.8,2,15.2,3.2,2,115,201,0,5,4,1,659,0,504.42,33.19
689,4165,69,1163446800,3.387,58.167,2230512.795,1375591.5480000002,14.0,7.0,2,10.51,0.0,11,101,201,0,1,2,1,0,0,0.0,0.0
694,4143,1190,1163444600,-14.027999999999999,1657.3029999999999,2230819.0069999998,1377117.6809999999,14.6,6.8,2,15.44,-0.55,2,118,223,0,5,4,1,659,0,131.88,8.54
699,4214,27,1163451700,2.364,117.678,2230516.594,1375650.946,14.5,7.0,2,3.94,0.0,11,101,201,0,1,2,1,0,689,0.0,0.0
700,4223,19,1163452600,18.891,2070.562,2230808.498,1377531.8730000001,15.1,7.2,2,17.19,-1.54,0,114,214,5,0,2,2,0,0,0.0,0.0
